id,group,abbr,url,criterion,date,extraction_utc,total_detected,n,f,f_over_n,code,failing_elements,evaluator_code,notes
7,mundo,UC Berkeley,https://www.berkeley.edu,1.4.3,2026-09-01,13:28:18,104,20,0,0.0,1,,R01,"Ratios entre 13,65:1 y 15,13:1. Ningun caso REVISAR. Medicion con filtros de texto oculto visualmente activos; quedaron excluidos los enlaces de salto y la etiqueta del buscador."
14,mundo,UCL,https://www.ucl.ac.uk,1.4.3,2026-09-01,13:52:42,159,18,0,0.0,1,,R01,"Ratios entre 5,39:1 y 20,12:1. Se excluyeron tres elementos de texto oculto visualmente: 'Submit search' (1x1 px con clip rect(0,0,0,0)) y dos enlaces envolventes con font-size 0, color transparente y text-indent -9999px, cuyo contenido visible lo aportan sus encabezados hijos. n efectivo = 18."
15,mundo,Cornell,https://www.cornell.edu,1.4.3,2026-09-01,14:20:05,92,18,0,0.0,1,,R01,"Ratios entre 6,8:1 y 21:1. Se excluyeron dos elementos de texto oculto visualmente mediante posicionamiento fuera de pantalla: 'Search' en x=-9429 y 'previous slide' en x=-25925. Los elementos 18 y 19, texto del carrusel sobre fotografia, se apoyan en una banda rgba(7,6,6,0.65) que garantiza contraste suficiente. n efectivo = 18."
22,mundo,NUS,https://nus.edu.sg,1.4.3,2026-09-01,14:48:35,57,20,13,0.65,0,"5-10, 12-18",R01,"Fallo sistematico de contraste en la navegacion: texto gris rgb(153,153,153) sobre fondo blanco (2,85:1) y sobre rgb(248,248,248) (2,68:1), frente al umbral de 4,5:1. Afecta a la barra de servicios y al menu principal completo. El elemento 11 ('Home'), en azul, si pasa con 10,1:1. Todos los casos con colores planos, sin transparencia ni fondo de imagen."
29,mundo,Northwestern,https://www.northwestern.edu,1.4.3,2026-09-01,15:20:05,146,20,0,0.0,1,,R01,"Ratios entre 8,22:1 y 16,1:1. Ningun caso REVISAR. El elemento 19 es texto de reserva de un <video>, no visible en navegadores modernos pero sin tecnica de ocultacion aplicada; pasa igualmente."
40,mundo,Manchester,https://www.manchester.ac.uk,1.4.3,2026-09-01,15:43:19,79,20,0,0.0,1,,R01,"Ocho casos marcados REVISAR. En cinco (1, 7, 8, 9, 10) la imagen de fondo es un icono decorativo aplicado al propio enlace, sin competir con el texto: ratios validos entre 8,48:1 y 12,63:1. En tres (16, 17, 18) el texto blanco se superpone a la fotografia de cabecera; verificacion visual confirma legibilidad nitida sobre las zonas oscuras de la imagen. Medicion repetida con resultado identico."
58,mundo,HKUST,https://hkust.edu.hk/,1.4.3,2026-09-01,16:08:26,201,17,0,0.0,1,,R01,"Se excluyeron los elementos 18, 19 y 20 por estar en x=2355, fuera del viewport de 1365 px: menu lateral desplegable en estado cerrado. Los elementos 2, 3, 9 y 13 son etiquetas de cabecera en texto blanco cuya pila de fondo es transparente; verificacion visual confirma legibilidad nitida sobre la imagen de cabecera. Resto con ratios entre 7,32:1 y 21:1. n efectivo = 17."
83,ecuador,UNESUM,https://unesum.edu.ec,1.4.3,2026-09-01,16:38:08,31,20,0,0.0,1,,R01,"Ratios entre 7,72:1 y 17,77:1. Ningun caso REVISAR. Solo 31 elementos con texto propio visible, la cifra mas baja del estudio: la portada apoya el contenido en imagenes, lo que explica el resultado opuesto en 1.1.1 (f=11, codigo 0)."
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.4.3,2026-09-01,17:09:23,60,20,0,0.0,1,,R01,"El sitio usa notacion de color oklab() y lab(); la medicion se rehizo con conversion por canvas para resolverla. Siete elementos de cabecera y bloque inferior quedaron sin fondo calculable por superponerse a fotografia; verificacion visual confirma que se distinguen del fondo. Los elementos 8, 11 y 19 llevan ademas transparencia parcial en el texto (blanco al 70 por ciento), comprobados visualmente. Resto con ratios entre 5,6:1 y 10,36:1."
96,ecuador,IAEN,https://www.iaen.edu.ec,1.4.3,2026-09-01,17:37:25,30,20,6,0.3,0,"2, 3, 9, 10, 19, 20",R01,"Elementos 9 y 10 ('Clic aqui'): blanco sobre azul rgb(63,152,190), 3,26:1 frente a umbral 4,5:1. Elementos 2 y 3: gris rgb(122,122,122) sobre blanco, 4,29:1, por debajo del umbral. Elementos 19 y 20 ('Videos Institucionales', 'Noticias destacadas'): azul claro rgb(110,193,228) sobre blanco, 2,02:1 frente a umbral 3:1 para texto grande; fondo blanco confirmado visualmente. Elementos 1, 4-8, 11-16 marcados REVISAR por imagen de fondo en ancestro decorativo, con ratios calculados entre 7,07:1 y 8,16:1 que superan el umbral."
