id,group,abbr,url,criterion,date,extraction_utc,total_detected,n,f,f_over_n,code,failing_elements,evaluator_code,notes
7,mundo,UC Berkeley,https://www.berkeley.edu,2.4.4,2026-09-01,20:46:36,60,20,0,0.0,1,,R01,"Diecinueve enlaces con nombre accesible descriptivo derivado del texto. El elemento 20 ('Learn more') tiene nombre generico; el contexto programatico se encuentra dos niveles por encima, en un div que enuncia 'Creating more venture-backed startups than any other university in the world'. Caso limitrofe: la formulacion estricta del criterio menciona parrafo, lista o celda, no div generico. Resuelto como conforme."
14,mundo,UCL,https://www.ucl.ac.uk,2.4.4,2026-09-01,20:49:45,67,20,0,0.0,1,,R01,Dieciocho enlaces con nombre accesible descriptivo. Los elementos 14 y 19 ('Find out more') tienen nombre generico; el contexto programatico inmediato los identifica: 'Rankings / UCL ranked 8th best university in QS world rankings 2027' y 'UCL200 / UCL's Bicentenary'. La columna de contexto automatico no fue fiable en este sitio porque closest() alcanzaba un article que envuelve toda la portada; los casos se diagnosticaron a mano.
15,mundo,Cornell,https://www.cornell.edu,2.4.4,2026-09-01,21:12:15,69,20,0,0.0,1,,R01,Todos los enlaces con nombre accesible descriptivo del destino. El elemento 8 usa aria-label 'Expand Apply Menu'. El 20 ('More news') es generico en apariencia pero indica el destino por si solo. Los ocho enlaces con aria-label 'Social Media Directory' detectados en 1.1.1 quedan fuera de la muestra de veinte primeros.
22,mundo,NUS,https://nus.edu.sg,2.4.4,2026-09-01,21:33:36,61,20,1,0.05,P,17,R01,"Elemento 17: enlace de busqueda con href='#', sin nombre accesible por ninguna via y sin contenedor que aporte contexto. Es el mismo elemento que falla en 1.1.1 (search.jpg con alt='' y sin aria-label): una unica omision que incumple ambos criterios. Los elementos 19 y 20 son enlaces duplicados hacia el mismo destino, con nombre descriptivo; no constituye fallo."
29,mundo,Northwestern,https://www.northwestern.edu,2.4.4,2026-09-01,21:55:01,84,20,0,0.0,1,,R01,"Los elementos 17 y 19 toman su nombre accesible del alt de la imagen ('Lab work', 'The Q'), insuficiente por si solo. El contenedor inmediato incluye categoria, titular completo y fuente, de modo que el contexto programatico identifica el destino. Los elementos 18 y 20 son sus hermanos con el titular como texto del enlace, hacia el mismo destino."
40,mundo,Manchester,https://www.manchester.ac.uk,2.4.4,2026-09-01,22:15:48,52,20,0,0.0,1,,R01,Todos los enlaces con nombre accesible que identifica el destino. Los iconos de redes (14-17) usan aria-label con el nombre de cada plataforma. El elemento 6 amplia el texto visible 'About' mediante aria-label 'About The University of Manchester'. El elemento 10 ('Register now') queda resuelto por su contexto programatico: 'Undergraduate open days | 3 and 10 October'.
58,mundo,HKUST,https://hkust.edu.hk/,2.4.4,2026-09-01,22:34:54,71,20,1,0.05,P,16,R01,"Elemento 16: enlace con href='#' sin nombre accesible ni contexto programatico. Los elementos 17 y 18 fueron marcados como genericos por la regla automatica de longitud minima de tres caracteres, inaplicable a escrituras logograficas: son las abreviaturas convencionales de chino tradicional y simplificado, con destinos /zh-hant y /zh-hans; se consideran conformes."
83,ecuador,UNESUM,https://unesum.edu.ec,2.4.4,2026-09-01,22:57:54,30,20,4,0.2,P,"10, 16, 18, 20",R01,"Elemento 10: escudo institucional, imagen sin alt dentro de enlace al inicio. Elementos 16, 18 y 20: enlaces que envuelven el icono de 'Rectora', 'Plataformas' e 'Investigacion' con contenedor vacio; el texto va en un enlace hermano hacia el mismo destino, sin constituir contexto programatico. Los elementos del carrusel cambian de nombre accesible segun la diapositiva mostrada: en una lectura previa aparecian sin aria-label y en esta con el; se conserva la lectura registrada en extraction_utc. Cociente exactamente en el umbral de 0,20."
95,ecuador,USECIPOL,https://usecipol.edu.ec,2.4.4,2026-09-01,23:23:15,38,20,0,0.0,1,,R01,"Todos los enlaces con nombre accesible descriptivo: aria-label en iconos de navegacion y redes, texto completo en las noticias. Observacion al margen del criterio: los elementos 5 y 6, etiquetados 'LinkedIn' y 'YouTube', apuntan ambos a https://www.google.com; el nombre no corresponde al destino real, lo que no incumple 2.4.4 pero constituye un defecto de calidad del enlace."
96,ecuador,IAEN,https://www.iaen.edu.ec,2.4.4,2026-09-01,23:41:41,19,19,6,0.3158,0,"10, 11, 12, 13, 14, 15",R01,"Seis enlaces consecutivos con el texto identico 'Haz clic aqui' y sin contenedor que aporte contexto programatico, hacia destinos distintos: biblioteca, editorial, campus, bienestar universitario, bolsa de empleo e intranet. El nombre no permite distinguirlos ni determinar el proposito. La deteccion automatica no los marco porque la lista de terminos genericos no incluia esa variante; se identificaron por revision. Muestra completa: 19 enlaces visibles."
102,ecuador,ULVR,https://www.ulvr.edu.ec,2.4.4,2026-09-02,00:01:34,33,20,13,0.65,0,"1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 14, 15, 16",R01,"Diez enlaces sin nombre accesible y con contenedor vacio (1-4, 6, 9, 10, 13, 14, 16); los cuatro primeros son las tarjetas GRADO, POSGRADO, LAICATEC e INVESTIGACION, cuyas imagenes ya fallaban en 1.1.1 por ausencia de alt. El elemento 10 tiene ademas el atributo href vacio. Tres enlaces 'Ver mas' (8, 12, 15) sin contexto programatico: el h3 de cada bloque contiene el propio 'Ver mas' en lugar del titular de la noticia. El elemento 15 apunta a un dominio externo sobre componentes de automocion, sin relacion con el contenido institucional."
103,ecuador,UTPL,https://www.utpl.edu.ec,2.4.4,2026-09-02,00:27:05,92,20,2,0.1,P,"1, 2",R01,"Elementos 1 y 2: botones flotantes de contacto hacia WhatsApp (wa.me) y Zoom, sin nombre accesible por ninguna via y sin contenedor que aporte contexto. El resto de la muestra presenta nombres descriptivos del destino en navegacion y oferta academica."
