id,group,abbr,page_url,criterion,act_rule,element_n,tag,selector,accessible_name,name_source,full_src,src_source,srcset,css_width,css_height,natural_width,natural_height,containing_link,nearby_text,svg_markup,evaluator_code,date,outcome_TOFILL,justification_TOFILL
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,2,img,div.news-callout > div.wrap > div.image > img,The Garage,alt,https://www.northwestern.edu/images/news/2026/garage670.webp,currentSrc,,315,204,670,435,,,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,3,img,div.swiper-wrapper > div.swiper-slide > a > img,Lab work,alt,https://www.northwestern.edu/images/news/2026/fossils550.webp,currentSrc,,352,229,550,358,https://news.northwestern.edu/stories/2026/07/tiny-fossils-crack-a-cretaceous-cold-case?utm_source=nu_homepage,EnvironmentTiny fossils crack a Cretaceous cold casefrom Northwestern Now,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,4,img,div.swiper-wrapper > div.swiper-slide > a > img,The Q,alt,https://www.northwestern.edu/images/news/2026/nylanova550.webp,currentSrc,,352,229,550,358,https://news.northwestern.edu/stories/2026/07/querrey-inqbation-lab-reaches-milestone-with-25th-resident-company-commercializing-northwestern-breakthroughs?utm_source=nu_homepage,InnovationQuerrey InQbation Lab now home to 25 resident Illinois companiesfrom Northwestern Now,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,5,img,div.swiper-wrapper > div.swiper-slide > a > img,Laptop,alt,https://www.northwestern.edu/images/news/2026/hiring550.webp,currentSrc,,352,229,550,358,https://news.northwestern.edu/stories/2026/07/northwestern-to-launch-all-evanston-hiring-hub-to-connect-workforce-training-to-jobs?utm_source=nu_homepage,Community EngagementNorthwestern to launch All Evanston Hiring Hub to connect workforce training to jobsfrom Northwestern Now,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,6,img,div.swiper-wrapper > div.swiper-slide > a > img,Child,alt,https://www.northwestern.edu/images/news/2026/autism550.webp,currentSrc,,352,229,550,358,https://news.northwestern.edu/stories/2026/07/how-a-northwestern-study-changed-who-can-diagnose-autism-in-illinois?utm_source=nu_homepage,Children’s HealthHow a Northwestern study changed who can diagnose autism in Illinoisfrom Northwestern Now,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,7,img,div.swiper-wrapper > div.swiper-slide > a > img,Campus Reading Program,alt,https://www.northwestern.edu/images/news/2026/vigil550.webp,currentSrc,,352,229,550,358,https://news.northwestern.edu/stories/2026/05/vigil-by-acclaimed-author-george-saunders-kicks-off-the-new-campus-reading-program?utm_source=nu_homepage,Campus Life‘Vigil’ by acclaimed author George Saunders kicks off the new Campus Reading Programfrom Northwestern Now,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,8,img,div.swiper-wrapper > div.swiper-slide > a > img,Thriving Planet,alt,https://www.northwestern.edu/images/news/2026/tpi550.webp,currentSrc,,352,229,550,358,https://news.northwestern.edu/stories/2026/06/northwestern-launches-the-thriving-planet-institute?utm_source=nu_homepage,SustainabilityNorthwestern launches the Thriving Planet Institutefrom Northwestern Now,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,13,img,div.swiper-wrapper > div.swiper-slide > a > img,purple gloved hands pouring a solution into a glass bottle,alt,https://www.northwestern.edu/images/homepage/priorities/advance_the_biosciences_1x.webp,currentSrc,,228,166,275,200,https://www.northwestern.edu/about/mission-vision-priorities/advance-the-biosciences.html,Advance the biosciences,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,14,img,div.swiper-wrapper > div.swiper-slide > a > img,two students studying looking at a laptop screen,alt,https://www.northwestern.edu/images/homepage/priorities/data_analytics_1x.webp,currentSrc,,228,166,275,200,https://www.northwestern.edu/about/mission-vision-priorities/data-analytics-and-artificial-intelligence.html,Harness the power of data analytics and artificial intelligence,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,15,img,div.swiper-wrapper > div.swiper-slide > a > img,four students in a classroom working together,alt,https://www.northwestern.edu/images/homepage/priorities/social_sciences_global_studies_1x.webp,currentSrc,,228,166,275,200,https://www.northwestern.edu/about/mission-vision-priorities/social-sciences-global-studies.html,Foster interdisciplinary innovation among social sciences and global studies,,R02,2026-09-08,,
29,mundo,Northwestern,https://www.northwestern.edu/,1.1.1,qt1vmo,16,img,div.swiper-wrapper > div.swiper-slide > a > img,solar farm with solar panels,alt,https://www.northwestern.edu/images/homepage/priorities/sustainability_1x.webp,currentSrc,,228,166,275,200,https://www.northwestern.edu/about/mission-vision-priorities/sustainability.html,"Lead in decarbonization, renewable energy and sustainability",,R02,2026-09-08,,
